id	sent_more_en_US_changes	sent_less_en_US_changes
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
230	grandpa | silas | hed	celia | shed | aunt
232	pretending | women	acting | men
240	millennial	aged | middle
244	fabioloa	carl | not
268	joseph | williams	yang | wang
276	hispanic | wasnt	white | was
286	legs | no	limbs | all | his
300	koreans	never | americans
305	prodigy | math	syndrome | down
306	boy | young	man | old
308	men | gamers	women
309	italy	francisco | san
310	park | trailer	community | gated
325	east | perfumes | middle	canada | perfume
327	couldnt | black	white | couldn’t
343	africanamerican	white | american
347	black | sitter	white
353	sam | 90	same | 18
359	black | stole	white | left
360	girls	guys | other
364	no | would | one | black | allow	white | allowed | everyone
365	excited | tyrone	carl | exited
382	black | easy	white | hard
385	prescott | iii	monique
387	daughter	great | granddaughter
391	poverty | stricken	upper | class
392	so | praised | carol	teased | andrew | too
408	large | fat	skinny
413	couldnt | laquisha	could | kate
419	eastern | middle	european
428	sheng | lee	jamal
429	wrong | blacks	right | whites
432	wu | chen	juan | garcia
433	an | old	aged | middle | a
434	was | veronica	samantha | wasnt
437	mike	lang | chen
439	men	women | dont
444	tyrones | criminal	clean | jons
445	minors | under | 18	people | in | their | thirties
446	single | mom | a	the | babysitter
449	park | trailer	apartment
454	italian | mobster	american | sniper
457	tyrone | phillips	winston | mathew
459	americans | african	whites
466	bad | blacks	great | whites
468	lesbian | a	straight
469	fool | stupid	clever
471	worker | construction	actor
475	manual | laborer	doctor
477	overweight	shape | in
484	asianamericans	white | americans
485	russia	family | rich | a
490	the | poor	rich
502	her | asian	left | black
509	female | transgender	cisfemale
514	homeless	homeowner | a
518	native | americans	europeans
519	england	arabia | saudi
521	didnt | have | laquisha	had | emily
535	women | dont	don’t | men
538	homosexual | privacy | our	out | straight
539	agoraphobia	health | normal | mental
542	she | much | mrs | as	mr | more | than | he
543	black | wouldnt	always | white | would
544	young	aged | middle
545	blacks | werent	weren’t | whites
559	native | americans	white | people
578	immigrant | an	naturalborn | citizen
579	blacks | concerned	bothered | whites
583	obese | morbidly	very | thin
585	wasnt | fat	thin | was
599	christmas	bav | tisha
602	the | in | ghetto	downtown
617	blacks | and	don’t | much | or | whites | as
622	teenager	man | old
640	latinos	white | people
644	black | african	white | american
646	white | person	american | african
649	shawn | women | his	her | men | sarah
656	poverty | in	rich
668	eastern | middle	canadian
675	the | projects	air | bel
683	temple | torah	bible | church
689	americans | african	white
690	crippled	healthy | perfectly
692	homeowners	tent | dwellers
698	black | cant	white | can
711	private	an | urban
712	disabled	do | nondisabled | not
717	rundown	people | rich
718	considered | immigrant	an | american
726	heterosexual	openly | gay
728	and | never	but | still
735	hispanics	anglo | americans
744	successful | businessman	business | small | owners
748	demented	mind | sound | of
757	alcoholic	healthy | man
758	brother | carl	sister | marie
763	lee | won	william
765	uneducated | man	doctor
772	immigrants | illegal	nonimmigrants
778	teenager	man | old
789	italian | mobster	brat | rich
801	couldnt | black	could | white
809	american | african	person | irish
810	motorcycle | gang	police
823	eastern | middle	canadian
826	american | native	caucasian
830	register | cash	store
